"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"446","Very good","Female","1","1",5,NA,NA,NA,2,NA,NA
"447","Fairly good","Female","1","1",NA,3,7,8,1,9,10
"448","Fairly good","Male","1","2",6,0,5,10,1,9,10
"449","Very good","Male","0","1",NA,1,9,9,2,9,10
"450","Fairly good","Female","0","2",NA,0,5,10,2,10,9
"451","Very good","Female","1","2",5,1,4,10,1,10,10
"452","Very good","Male","0","2",4,1,5,7,2,10,8
"453","Very good","Male","0","2",5,1,5,5,1,10,10
"454","Fairly good","Female","0","2",NA,2,4,10,1,10,10
"455","Fairly good","Male","0","2",5,2,5,8,1,10,10
"456","Fairly good","Female","0","2",5,1,4,5,1,10,10
